1,54,5.0
1,54,15.0
1,54,19.1
1,54,12.0
2,54,20.3
2,54,20.0
2,54,19.0
2,54,18.0
3,54,20.0
1,10,20.0
1,10,15.0
1,10,13.3
1,10,8.5
2,10,15.0
2,10,20.0
2,10,19.0
2,10,12.0
1,54,5.0
1,54,15.0
1,54,19.1
1,54,12.0
2,54,20.3
2,54,20.0
2,54,19.0
2,54,18.0
1,10,20.0
1,10,15.0
1,10,13.3
1,10,8.5
2,10,15.0
2,10,20.0
2,10,19.0
2,10,12.0
1,54,5.0
1,54,15.0
1,54,19.1
1,54,12.0
2,54,20.3
2,54,20.0
2,54,19.0
2,54,18.0
3,54,20.0
1,54,5.0
1,54,15.0
1,54,19.1
1,54,12.0
2,54,20.3
2,54,20.0
2,54,19.0
2,54,18.0
3,54,20.0
1,10,20.0
1,10,15.0
1,10,13.3
1,10,8.5
2,10,15.0
2,10,20.0
2,10,19.0
2,10,12.0
1,54,5.0
1,54,15.0
1,54,19.1
1,54,12.0
2,54,20.3
2,54,20.0
2,54,19.0
2,54,18.0
1,10,20.0
1,10,15.0
1,10,13.3
1,10,8.5
2,10,15.0
2,10,20.0
2,10,19.0
2,10,12.0
1,54,5.0
1,54,15.0
1,54,19.1
1,54,12.0
2,54,20.3
2,54,20.0
2,54,19.0
2,54,18.0
3,54,20.0
2,69,18.0
